,name,link,company,salary_min,salary_max,currency,source
1780,Middle QA Automation Engineer (​Health Monitoring System),https://korolev.hh.ru/vacancy/36508769?query=python, DataArt,NaN,NaN,NaN,hh.ru
1781,Аналитик Power BI,https://korolev.hh.ru/vacancy/36726627?query=python," ДИЛАН, Группа компаний",NaN,NaN,NaN,hh.ru
1782,"Senior Data Engineer, Appointment Scheduling Service",https://korolev.hh.ru/vacancy/36407221?query=python, DataArt,NaN,NaN,NaN,hh.ru
1783,DevOps Инженер,https://korolev.hh.ru/vacancy/36879406?query=python, Тинькофф,NaN,NaN,NaN,hh.ru
1784,DevOps Engineer,https://korolev.hh.ru/vacancy/37024997?query=python," СимбирСофт,ООО",NaN,100000,руб.,hh.ru
1785,DevOps Engineer,https://korolev.hh.ru/vacancy/37024998?query=python," СимбирСофт,ООО",NaN,100000,руб.,hh.ru
1786,DevOps Engineer,https://korolev.hh.ru/vacancy/37024999?query=python," СимбирСофт,ООО",NaN,100000,руб.,hh.ru
1787,DevOps Engineer,https://korolev.hh.ru/vacancy/37025000?query=python," СимбирСофт,ООО",NaN,100000,руб.,hh.ru
1788,DevOps Engineer,https://korolev.hh.ru/vacancy/37025001?query=python," СимбирСофт,ООО",NaN,100000,руб.,hh.ru
1789,Системный администратор Linux,https://korolev.hh.ru/vacancy/34780259?query=python, Spectrum,,,,hh.ru
1790,Head of Marketing Analytics,https://korolev.hh.ru/vacancy/37030488?query=python, PROFI.RU,NaN,NaN,NaN,hh.ru
1791,3D Machine Learning Research and Development Engineer,https://korolev.hh.ru/vacancy/36734347?query=python, Artec 3D,NaN,NaN,NaN,hh.ru
1792,Маркетолог-аналитик,https://korolev.hh.ru/vacancy/36731181?query=python, СофтЭфИкс,NaN,NaN,NaN,hh.ru
1793,SRE-инженер,https://korolev.hh.ru/vacancy/36879399?query=python, Тинькофф,NaN,NaN,NaN,hh.ru
1794,QA инженер,https://korolev.hh.ru/vacancy/35966157?query=python, Ай-Теко (I-Teco),NaN,NaN,NaN,hh.ru
1795,QA инженер,https://korolev.hh.ru/vacancy/35966158?query=python, Ай-Теко (I-Teco),NaN,NaN,NaN,hh.ru
1796,Compiler software engineer,https://korolev.hh.ru/vacancy/36741101?query=python, Kelly Services,NaN,NaN,NaN,hh.ru
1797,Менеджер по исследованию рынка,https://korolev.hh.ru/vacancy/37020161?query=python, Московская Пивоваренная Компания,NaN,NaN,NaN,hh.ru
1798,Python разработчик,https://korolev.hh.ru/vacancy/37025199?query=python,ООО Очень Интересно,NaN,NaN,NaN,hh.ru
1799,Администратор IT систем (Платформа ГосТех),https://korolev.hh.ru/vacancy/37029449?query=python, Сбербанк для экспертов,NaN,NaN,NaN,hh.ru
1800,Инженер IP/MPLS,https://korolev.hh.ru/vacancy/35781452?query=python,ООО РТК-Сервис,90000,NaN,руб.,hh.ru
1801,Специалист по машинному обучению (Middle),https://korolev.hh.ru/vacancy/37015841?query=python, MyTona,NaN,NaN,NaN,hh.ru
1802,Junior FullStack Web Developer,https://korolev.hh.ru/vacancy/37013873?query=python,ООО Высокотехнологичные Розничные Решения,,,,hh.ru
1803,QA Automation Engineer на проект Digital Credit,https://korolev.hh.ru/vacancy/29199606?query=python, Банк ВТБ (ПАО),NaN,NaN,NaN,hh.ru
1804,DevOps инженер систем мониторинга,https://korolev.hh.ru/vacancy/37025223?query=python, Netcracker Technology Corp.,NaN,NaN,NaN,hh.ru
1805,Scala-Разработчик,https://korolev.hh.ru/vacancy/36318713?query=python, Сбербанк для экспертов,NaN,NaN,NaN,hh.ru
1806,Разработчик (Back-End),https://korolev.hh.ru/vacancy/37033218?query=python,"ПАО МегаФон, IT",NaN,NaN,NaN,hh.ru
1807,Senior Scala Developer,https://korolev.hh.ru/vacancy/34410333?query=python, Криптонит,NaN,NaN,NaN,hh.ru
1808,Инженер по тестированию,https://korolev.hh.ru/vacancy/31887390?query=python,ПАО МегаФон,NaN,NaN,NaN,hh.ru
1809,DevOps Expert - Cloud Software Development,https://korolev.hh.ru/vacancy/35441100?query=python, Ingram Micro,NaN,NaN,NaN,hh.ru
1810,"Embedded Software Engineer, Communications Services",https://korolev.hh.ru/vacancy/35593437?query=python, DataArt,NaN,NaN,NaN,hh.ru
1811,Tools and Monitoring Engineer- Developer,https://korolev.hh.ru/vacancy/35808942?query=python," Five9, Inc., СА",NaN,NaN,NaN,hh.ru
1812,PHP-разработчик в e-commerce проект,https://korolev.hh.ru/vacancy/36354601?query=python, Adapter AP,NaN,NaN,NaN,hh.ru
1813,Аналитик (Финансовый анализ),https://korolev.hh.ru/vacancy/34706539?query=python, Тинькофф,NaN,NaN,NaN,hh.ru
1814,FullStack Разработчик java/scala,https://korolev.hh.ru/vacancy/36522369?query=python, СТС Медиа,NaN,NaN,NaN,hh.ru
1815,Инженер IP/MPLS,https://korolev.hh.ru/vacancy/35805297?query=python,ООО РТК-Сервис,NaN,NaN,NaN,hh.ru
1816,Аналитик-математик (Data scientist),https://korolev.hh.ru/vacancy/37020699?query=python,ООО Финансово-правовой альянс,,,,hh.ru
1817,Руководитель по информационной безопасности,https://korolev.hh.ru/vacancy/36587581?query=python," Протек, Центр Внедрения",NaN,NaN,NaN,hh.ru
1818,Service Desk Analyst (Web),https://korolev.hh.ru/vacancy/36886660?query=python, Veeam Software,NaN,NaN,NaN,hh.ru
1819,"Ведущий системный администратор, БД MSSQL",https://korolev.hh.ru/vacancy/36364117?query=python,АО НИПИГАЗ,NaN,NaN,NaN,hh.ru
1820,Stream Engineer,https://korolev.hh.ru/vacancy/36857674?query=python, Wrike,NaN,NaN,NaN,hh.ru
1821,C++/Python (Linux backend developer),https://korolev.hh.ru/vacancy/34477657?query=python, Plesk,,,,hh.ru
1822,Технический художник / Tech Artist,https://korolev.hh.ru/vacancy/36711627?query=python,ООО Игро Тэк,NaN,NaN,NaN,hh.ru
1823,Тестировщик (автоматизация .NET) в команду развития зарплатного проекта,https://korolev.hh.ru/vacancy/37018837?query=python, Райффайзенбанк,NaN,NaN,NaN,hh.ru
1824,Python-разработчик,https://korolev.hh.ru/vacancy/36960878?query=python,ООО Айдеко,NaN,NaN,NaN,hh.ru
