,name,link,company,salary_min,salary_max,currency,source
1162,Программист,https://korolev.hh.ru/vacancy/36746721?query=python,,NaN,NaN,NaN,hh.ru
1163,Python-разработчик,https://korolev.hh.ru/vacancy/37027942?query=python,ООО Смарт Ритейл,NaN,NaN,NaN,hh.ru
1164,Product IT Manager – Connected Outlets,https://korolev.hh.ru/vacancy/35962394?query=python, HEINEKEN Russia,NaN,NaN,NaN,hh.ru
1165,Программист Python,https://korolev.hh.ru/vacancy/35870480?query=python,АО РТИ,NaN,NaN,NaN,hh.ru
1166,Разработчик Python,https://korolev.hh.ru/vacancy/35957577?query=python,АО ДОМ.РФ,NaN,NaN,NaN,hh.ru
1167,"Инженер-программист C++, Python",https://korolev.hh.ru/vacancy/37027359?query=python,ТОО ЦЕНТР БЕСПИЛОТНЫХ СИСТЕМ КАЗАХСТАНА,500000,NaN,KZT,hh.ru
1168,Python-разработчик,https://korolev.hh.ru/vacancy/35503487?query=python, ivi,140000,200000,руб.,hh.ru
1169,Инженер по беспроводным технологиям,https://korolev.hh.ru/vacancy/35439119?query=python, InfiNet Wireless,NaN,NaN,NaN,hh.ru
1170,Python developer,https://korolev.hh.ru/vacancy/37036992?query=python, Azur Games,NaN,NaN,NaN,hh.ru
1171,Программист 1С,https://korolev.hh.ru/vacancy/36077327?query=python,ООО Порядок,,,,hh.ru
1172,Разработчик мобильных приложений Flutter / Dart (удаленно),https://korolev.hh.ru/vacancy/37038895?query=python,ООО Байкал-Веб,25000,NaN,руб.,hh.ru
1173,Инженер-разработчик Python,https://korolev.hh.ru/vacancy/36712263?query=python, Rambler Group,NaN,NaN,NaN,hh.ru
1174,Backend Python Engineer,https://korolev.hh.ru/vacancy/37039006?query=python,ООО Flo,NaN,NaN,NaN,hh.ru
1175,Специалист по тестированию (г. Екатеринбург),https://korolev.hh.ru/vacancy/36973923?query=python, ANCOR FinTech,NaN,NaN,NaN,hh.ru
1176,Специалист по тестированию (г. Екатеринбург),https://korolev.hh.ru/vacancy/36973924?query=python, ANCOR FinTech,NaN,NaN,NaN,hh.ru
1177,Специалист по тестированию (г. Екатеринбург),https://korolev.hh.ru/vacancy/36973925?query=python, ANCOR FinTech,NaN,NaN,NaN,hh.ru
